model,mae,rmse,mape_pct,smape_pct,holdout_points
arima,51.987410817134105,68.81222299974635,4.443618545930758,4.619142757498676,4
prophet,132.0768375398408,144.26269074427185,11.694791705040466,12.535695995297674,4
linear_regression,352.64920931681417,362.6476611568243,31.758718806062973,27.318787426163134,4
